Cafeteria,Ciudad,Clientes_Semana,Bebidas_Vendidas,Ingreso_Semanal
Aroma Café,Guadalajara,320,540,18900
La Taza Feliz,Monterrey,280,470,16200
Café Central,Ciudad de México,450,760,25400
Espresso Norte,Monterrey,,520,17650
Café del Parque,Puebla,210,360,12100
Ruta del Café,Querétaro,260,,14900
Café Amanecer,Mérida,240,410,13800
Café Luna,Guadalajara,310,505,
Grano de Oro,Ciudad de México,480,820,27600
Café del Valle,Toluca,195,330,10950
Aroma Urbano,Tijuana,,450,15800
Café Montaña,Saltillo,220,370,12400
Café Horizonte,León,265,440,15100
Café Colonial,Oaxaca,230,395,
Café del Puerto,Veracruz,290,480,16650
Café Brisa,Cancún,340,,19300
Café Tradición,Morelia,250,420,14550
Café del Centro,San Luis Potosí,270,445,15200
Café Estrella,Chihuahua,215,365,12600
Café Sierra,Zacatecas,,340,11500